DateTime,AddedIPs,RemovedIPs
1532180522,5,0
1532181722,7,0
1532181811,0,3
1532182922,8,0
1532183522,3,0
1532184002,55,11
1532184122,4,0
1532184963,11,54
1532185412,6,0
1532186522,9,0
1532187181,1,0
1532187844,57,21
1532188821,0,103
1532188951,7,0
1532189522,10,0
1532190121,2,0
1532190722,9,0
1532191685,91,0
1532192556,9,1
1532193721,2,1
1532194381,6,0
1532194922,3,0
1532195522,56,18
1532196122,3,0
1532196151,1,0
1532197322,7,2
1532197922,1,0
1532198404,68,91
1532198522,4,0
1532199363,0,83
1532199751,6,4
1532200322,1,0
1532200922,4,0
1532201523,63,0
1532202123,11,0
1532203411,4,1
1532204522,5,0
1532205362,62,13
1532205722,9,0
1532206322,1,0
1532206563,0,110
1532206954,6,1
1532207522,4,0
1532208121,2,0
1532209323,5,0
1532209922,0,1
1532210521,4,0
1532210552,1,0
1532211122,58,0
1532211362,0,78
1532211722,1,0
1532212322,3,0
1532213044,67,0
1532213522,3,0
1532214211,7,1
1532215443,5,81
1532216522,2,0
1532216882,76,0
1532217122,2,0
1532217751,0,1
1532218322,3,0
1532218922,4,0
1532219522,3,0
1532220122,5,0
1532220722,38,10
1532221442,8,138
1532221922,4,2
1532222521,1,0
1532223722,7,0
1532224563,57,0
1532224951,5,1
1532226122,3,0
1532227202,61,64
1532227321,3,0
1532228414,0,87
1532228551,2,3
1532229722,17,0
1532230322,77,0
1532230922,8,0
1532232242,90,14
1532232722,4,0
1532232962,10,82
1532233323,6,0
1532233922,3,0
1532234522,10,0
1532235722,18,0
1532235811,0,2
1532236322,14,0
1532237043,6,74
1532237582,7,0
1532238244,99,0
1532238721,1,0
1532239351,3,0
1532239922,10,0
1532240522,7,0
1532240882,0,63
1532241722,11,0
1532242951,20,2
1532243521,2,0
1532244003,67,0
1532244122,1,0
1532244722,2,56
1532244783,1,0
1532245322,11,0
1532245922,66,0
1532246554,28,2
1532247722,8,0
1532248562,7,50
1532248921,5,0
1532249522,1,0
1532250483,76,4
1532250722,6,0
1532251322,1,0
1532251682,66,36
1532251922,1,0
1532252522,6,0
1532253122,2,0
1532253751,5,1
1532254922,6,0
1532255763,66,14
1532256244,4,107
1532257322,8,0
1532259602,64,0
1532259722,2,0
1532260322,3,0
1532261012,1,0
1532262121,8,0
1532263445,62,12
1532263922,24,50
1532264615,4,0
1532265121,5,0
1532265843,2,62
1532266922,2,0
1532267282,70,0
1532268121,4,0
1532269203,0,70
1532269322,1,0
1532270522,4,0
1532271122,122,0
1532272082,3,83
1532273043,75,0
1532273581,2,0
1532274122,1,0
1532275352,4,1
1532276163,2,64
1532279044,66,0
1532279522,1,0
1532280122,1,0
1532280722,1,0
1532280963,70,68
1532281321,4,0
1532282522,9,0
1532282552,0,1
1532283722,8,0
1532284322,2,0
1532284804,63,109
1532284922,2,0
1532285522,4,0
1532286212,7,3
1532286722,1,0
1532287322,6,0
1532287922,1,0
1532288882,74,0
1532289122,6,0
1532289812,4,0
1532290804,0,76
1532290922,6,0
1532292122,3,0
1532292722,72,0
1532293355,3,2
1532293922,2,0
1532294523,1,0
1532295721,4,0
1532296322,3,0
1532296564,71,53
1532296954,8,0
1532297522,1,0
1532298122,10,0
1532298486,0,87
1532298722,1,0
1532299322,4,0
1532299923,6,0
1532300411,48,0
1532300616,3,0
1532301122,6,0
1532301721,7,0
1532302562,69,12
1532302922,2,0
1532303521,1,0
1532304152,6,0
1532304721,2,0
1532305443,2,187
1532306402,52,0
1532306522,2,0
1532307121,1,0
1532307757,1,0
1532308322,12,0
1532308922,2,0
1532309522,4,0
1532310242,74,14
1532311215,0,112
1532311322,7,0
1532311353,0,1
1532312162,72,0
1532312522,19,0
1532313722,11,0
1532314321,4,0
1532314955,3,1
1532316122,10,0
1532316781,2,0
1532317323,3,0
1532317922,71,11
1532318884,12,176
1532319122,8,0
1532319722,52,0
1532320322,4,0
1532320922,11,0
1532321763,69,0
1532322153,5,0
1532322722,1,0
1532323323,14,0
1532323922,6,0
1532324644,7,68
1532325122,4,0
1532325614,92,0
1532325813,5,2
1532326322,2,1
1532326923,16,0
1532327523,69,16
1532328122,32,0
1532328721,2,0
1532329413,16,2
1532329922,20,0
1532330403,0,97
1532330522,8,0
1532331121,9,0
1532331362,67,0
1532331722,1,0
1532332322,2,0
1532333015,15,2
1532333522,4,0
1532334482,13,56
1532335203,60,0
1532335323,12,0
1532335922,10,0
1532336522,17,0
1532337152,3,1
1532337722,9,0
1532339044,79,14
1532341685,12,91
1532341982,15,0
1532342522,6,0
1532343752,9,0
1532344922,10,0
1532345522,102,0
1532346122,6,0
1532346482,0,90
1532347322,5,0
1532347413,0,4
1532348522,4,0
1532349121,4,0
1532349362,57,0
1532349722,8,0
1532350321,7,0
1532350922,1,0
1532351522,3,0
1532352122,15,0
1532352781,2,0
1532353203,65,15
1532353322,7,0
1532354162,15,44
1532354522,6,0
1532355722,22,0
1532357042,85,20
1532357521,16,0
1532358020,0,109
1532358122,4,0
1532358155,1,1
1532359322,17,0
1532360522,19,0
1532360883,56,0
1532361815,28,2
1532362921,24,0
1532363762,4,69
1532364122,14,0
1532364723,85,0
1532365414,14,1
1532365922,10,0
1532366883,9,78
1532367122,5,0
1532367605,78,0
1532367722,6,0
1532368816,70,62
1532368922,13,0
1532369522,11,0
1532370122,8,0
1532370723,84,14
1532371321,5,0
1532371922,14,102
1532372522,11,0
1532372613,1,1
1532373122,1,0
1532373722,7,0
1532374321,2,0
1532374562,67,0
1532374921,3,0
1532376122,10,0
1532376213,0,2
1532376722,7,0
1532377321,11,0
1532378403,52,17
1532380083,5,123
1532380322,3,0
1532380922,3,0
1532381522,6,0
1532382121,1,0
1532382482,77,0
1532383413,7,1
1532383923,2,83
1532384522,2,0
1532385722,3,0
1532386322,63,0
1532386922,15,0
1532387522,13,0
1532387763,0,100
1532388121,7,0
1532388722,3,0
1532389322,25,0
1532389921,2,0
1532390162,85,0
1532390554,4,1
1532392083,47,14
1532392321,3,0
1532392922,2,0
1532393524,4,159
1532394214,8,2
1532394722,2,0
1532395321,13,0
1532395922,60,0
1532396522,6,0
1532397121,4,0
1532397754,7,0
1532399286,5,50
1532399581,19,0
1532400121,22,0
1532400722,2,0
1532401682,129,0
1532401922,7,0
1532402522,9,0
1532403122,34,0
1532403602,120,103
1532403722,16,0
1532405042,0,164
1532405523,82,0
1532406122,5,0
1532406782,3,0
1532407322,7,0
1532407921,6,0
1532408883,6,84
1532409121,2,0
1532409611,159,15
1532409721,17,0
1532410922,7,1
1532411522,86,0
1532412122,4,0
1532413321,6,1
1532413922,4,0
1532414521,7,0
1532415122,13,0
1532415363,67,12
1532415753,18,1
1532416803,0,99
1532416921,3,2
1532417283,64,0
1532418122,0,1
1532418722,11,0
1532419353,7,4
1532419922,11,0
1532420522,7,0
1532421122,0,64
1532421722,7,0
1532423283,118,2
1532423763,7,81
1532424122,1,0
1532424722,5,0
1532425203,72,0
1532425322,9,0
1532425922,5,0
1532426614,75,1
1532427604,0,51
1532427722,86,0
