DateTime,Entries,UniqueIPs
1532147791,8986,9170
1532148748,8985,9169
1532149718,8984,9168
1532150666,8985,9169
1532151628,8978,9162
1532152583,8981,9165
1532153556,8983,9167
1532154261,8982,9166
1532154988,8979,9163
1532155704,8973,9157
1532156427,8970,9154
1532157141,8974,9158
1532157867,8976,9160
1532158580,8976,9160
1532159413,8972,9156
1532160024,8977,9161
1532160733,8976,9160
1532161453,8979,9163
1532162170,8979,9163
1532162895,8983,9167
1532163867,8981,9165
1532164572,8979,9163
1532165290,8986,9170
1532166012,8991,9175
1532166752,8995,9179
1532167467,8989,9173
1532168189,8993,9177
1532168899,8987,9171
1532169627,8991,9175
1532170339,8991,9175
1532171065,8993,9177
1532171786,8984,9168
1532172503,8988,9172
1532173219,8985,9169
1532173943,8984,9168
1532174665,8987,9171
1532175403,8980,9164
1532176344,8978,9162
1532177054,8978,9162
1532177769,8991,9175
1532178739,8986,9168
1532179450,8991,9173
1532180173,8993,9175
1532181139,8990,9172
1532181855,8994,9176
1532182577,8994,9176
1532183538,8990,9172
1532184254,8992,9174
1532184970,8994,9176
1532185939,8992,9174
1532186927,8994,9176
1532187869,8995,9176
1532188840,9001,9182
1532189785,8999,9180
1532190489,9003,9184
1532191217,9001,9182
1532191928,9003,9184
1532192660,9011,9192
1532193370,8987,9167
1532194093,8981,9161
1532195057,8985,9165
1532195767,8987,9167
1532196499,8990,9170
1532197208,8988,9168
1532197940,8993,9173
1532198650,8988,9168
1532199371,8987,9167
1532200090,8982,9162
1532200807,8985,9165
1532201552,8989,9169
1532202271,8986,9166
1532202978,8988,9168
1532203704,8979,9159
1532204424,8980,9160
1532205144,9000,9182
1532205870,9013,9200
1532206585,9010,9198
1532207305,9004,9193
1532208026,9010,9199
1532208744,9007,9196
1532209468,9010,9199
1532210183,9006,9195
1532210905,9007,9196
1532211620,9006,9195
1532212347,9001,9191
1532213065,8997,9187
1532213778,9002,9192
1532214515,9012,9202
1532215466,9001,9191
1532216180,8997,9187
1532216905,9000,9190
1532217631,8997,9187
1532218354,9000,9190
1532219062,9003,9193
1532219782,9011,9202
1532220508,9007,9198
1532221236,9002,9193
1532222193,8998,9189
1532223150,8997,9188
1532223860,8998,9189
1532224583,8993,9184
1532225305,8992,9183
1532226028,8991,9182
1532226746,8987,9178
1532227466,8985,9176
1532228177,8985,9176
1532228914,8984,9175
1532229617,8983,9174
1532230351,8990,9181
1532231066,8990,9181
1532231787,8992,9183
1532232752,9002,9193
1532233460,8993,9184
1532234186,8998,9189
1532234904,9000,9191
1532235636,8992,9183
1532236594,8984,9175
1532237797,8990,9181
1532238747,8986,9177
1532239716,8987,9178
1532240420,8990,9181
1532241147,8987,9178
1532241862,8995,9186
1532242581,8996,9187
1532243556,8995,9186
1532244261,9002,9193
1532244982,9001,9192
1532245701,9004,9198
1532246681,8999,9193
1532247385,8998,9192
1532248101,9000,9194
1532249072,8998,9192
1532249780,8995,9189
1532250516,8994,9188
1532251465,9001,9195
1532252181,9003,9199
1532252904,8999,9194
1532253639,8996,9191
1532254339,8994,9189
1532255297,8994,9189
1532256261,8988,9183
1532257228,8992,9187
1532257930,8995,9190
1532258658,8999,9194
1532259369,9001,9196
1532260116,9003,9198
1532260840,9003,9198
1532261538,9000,9195
1532262249,9002,9197
1532262972,9004,9199
1532263953,9003,9198
1532264901,9002,9197
1532265866,8999,9194
1532266580,8999,9194
1532267305,9004,9199
1532268033,9008,9203
1532268741,9011,9206
1532269463,9006,9205
1532270183,9009,9208
1532270909,9010,9209
1532271625,9025,9224
1532272345,9028,9227
1532273062,9031,9230
1532273791,9028,9227
1532274748,9038,9237
1532275742,9034,9233
1532276664,9034,9236
1532277380,9034,9236
1532279084,9030,9232
1532279780,9035,9237
1532280503,9032,9234
1532281220,9035,9237
1532281943,9033,9235
1532282670,9034,9236
1532283388,9030,9232
1532284100,9030,9232
1532284827,9031,9233
1532285784,9026,9228
1532286502,9025,9227
1532287221,9026,9228
1532287956,9021,9223
1532288911,9023,9225
1532289880,9025,9227
1532290831,9013,9215
1532291545,9009,9197
1532292265,9013,9201
1532293234,8991,9165
1532294193,8988,9162
1532294901,8990,9164
1532295623,8988,9162
1532296339,8988,9162
1532297072,8983,9157
1532297781,8981,9155
1532298510,8980,9154
1532299233,8975,9149
1532299939,8975,9149
1532300669,8977,9151
1532301629,8978,9152
1532302611,8979,9153
1532303550,8982,9156
1532304525,8979,9153
1532305216,8980,9154
1532305946,8979,9153
1532306911,8973,9147
1532307619,8980,9155
1532308357,8984,9159
1532309061,8983,9158
1532309783,8976,9151
1532310766,8979,9154
1532311468,8979,9154
1532312197,8977,9152
1532313153,8976,9151
1532314114,8980,9155
1532314821,8982,9157
1532315546,8980,9156
1532316510,8977,9153
1532317460,8980,9156
1532318426,8970,9146
1532319380,8972,9148
1532320341,8975,9151
1532321048,8973,9149
1532321792,8973,9149
1532322753,8973,9149
1532323462,8975,9151
1532324184,8982,9158
1532324902,8981,9158
1532325641,8981,9158
1532326581,8986,9163
1532327541,8987,9164
1532328249,8985,9162
1532328970,8985,9162
1532329942,8989,9166
1532330670,8986,9163
1532331391,8991,9168
1532332345,8991,9168
1532333310,9000,9177
1532334034,9003,9180
1532334745,8997,9158
1532335463,9004,9165
1532336439,8999,9159
1532337146,8996,9156
1532337854,8999,9159
1532338573,9001,9161
1532339293,9003,9163
1532340019,9009,9169
1532341737,8997,9157
1532342435,9001,9161
1532343139,8999,9159
1532343869,8996,9156
1532344581,8991,9151
1532345303,8990,9150
1532346020,8987,9147
1532346741,8993,9153
1532347467,8990,9150
1532348182,8988,9148
1532348900,8988,9148
1532349622,8994,9154
1532350341,8997,9157
1532351064,8995,9155
1532351783,9001,9161
1532352586,9002,9162
1532353231,9008,9168
1532353946,9011,9171
1532354664,9010,9171
1532355385,9013,9174
1532356101,9013,9174
1532356822,9012,9173
1532357543,9013,9174
1532358263,8998,9158
1532358991,8998,9158
1532359697,8994,9154
1532360426,8990,9150
1532361140,8997,9157
1532361875,8994,9154
1532362581,8997,9157
1532363302,8993,9153
1532364268,8992,9152
1532364978,9007,9167
1532365721,9007,9167
1532366422,9009,9169
1532367149,9013,9173
1532367864,9010,9170
1532368581,9008,9168
1532369305,9005,9165
1532370017,9009,9169
1532370753,9006,9166
1532371471,9006,9166
1532372178,9012,9172
1532372907,9013,9173
1532373629,9010,9170
1532374344,9016,9176
1532375064,9017,9177
1532375780,9018,9178
1532376515,9014,9174
1532377465,9022,9182
1532378187,9022,9182
1532380126,9019,9179
1532380817,9020,9180
1532381548,9011,9171
1532382260,9008,9168
1532382980,9004,9164
1532383960,9002,9162
1532384663,9001,9161
1532385383,8999,9159
1532386348,9003,9163
1532387056,9011,9171
1532387781,9010,9170
1532388489,9009,9169
1532389224,9007,9167
1532389929,9013,9173
1532390655,9007,9167
1532391622,9007,9167
1532392332,9012,9172
1532393055,9016,9176
1532394040,9012,9172
1532394745,9020,9180
1532395487,9017,9177
1532396179,9026,9186
1532396904,9025,9185
1532397883,9015,9175
1532398586,9021,9181
1532399315,9019,9179
1532400018,9012,9172
1532400746,9010,9170
1532401718,9009,9169
1532402666,9002,9162
1532403380,9007,9167
1532404106,9010,9170
1532404826,9002,9162
1532405548,9009,9169
1532406262,9009,9169
1532406996,9007,9167
1532407701,9008,9168
1532408438,9011,9171
1532409130,9015,9175
1532409851,9014,9174
1532410571,9014,9174
1532411290,9012,9172
1532412037,9016,9176
1532412750,9014,9174
1532413467,9019,9179
1532414181,9026,9186
1532414903,9028,9188
1532415633,9028,9188
1532416346,9024,9184
1532417062,9031,9191
1532417784,9037,9197
1532418756,9042,9202
1532419714,9056,9217
1532420416,9091,9314
1532421153,9081,9313
1532421861,9082,9323
1532422854,9084,9325
1532423802,9086,9327
1532424498,9078,9319
1532425227,9080,9321
1532426185,9078,9319
1532426904,9070,9311
1532427624,9076,9317
