DateTime,AddedIPs,RemovedIPs
1532189723,2,0
1532190324,7,0
1532191223,23,0
1532191524,5,0
1532192124,6,0
1532193326,2,0
1532194225,24,0
1532194521,6,0
1532194823,5,0
1532195424,1,0
1532196023,1,0
1532196622,1,0
1532197224,1,0
1532197526,3,0
1532198424,9,0
1532198722,5,0
1532199323,4,0
1532199926,7,0
1532201421,16,0
1532201723,22,0
1532202321,3,0
1532202625,5,0
1532203223,1,0
1532203824,2,0
1532204424,4,0
1532205022,1,0
1532205623,1,0
1532206225,1,0
1532207121,4,0
1532207424,0,1
1532208323,1,0
1532208624,4,0
1532209523,8,0
1532209821,5,0
1532210430,5,8
1532211324,1,0
1532211623,5,0
1532211921,6,0
1532212227,16,0
1532212822,5,0
1532213425,23,0
1532214026,3,0
1532214324,4,0
1532214922,1,0
1532215522,2,0
1532216121,5,0
1532216723,1,0
1532217624,1,0
1532218230,9,0
1532218829,1,0
1532220329,7,0
1532220625,7,0
1532221227,14,0
1532221529,2,0
1532222126,1,0
1532223028,1,0
1532223330,5,0
1532224521,32,0
1532225130,7,0
1532226022,7,0
1532226628,8,0
1532227223,12,0
1532227824,5,0
1532228425,13,0
1532229026,15,0
1532229630,10,0
1532230223,22,0
1532230825,1,0
1532231426,1,0
1532232030,1,0
1532232621,1,0
1532232924,3,0
1532233527,1,0
1532234124,5,0
1532234724,1,0
1532235324,26,0
1532235926,7,0
1532236521,5,0
1532237125,1,0
1532237721,25,0
1532238025,6,0
1532238621,4,0
1532239223,1,0
1532241625,4,0
1532242522,23,0
1532242825,6,0
1532243422,2,0
1532244324,1,0
1532244929,4,0
1532245523,1,0
1532246121,5,0
1532246424,6,0
1532247023,1,0
1532247628,1,0
1532248524,1,0
1532249128,8,0
1532249424,1,0
1532249730,6,0
1532250024,1,0
1532250325,2,0
1532250928,2,0
1532251522,2,0
1532252123,1,0
1532252725,2,0
1532253322,11,0
1532254824,2,0
1532255427,2,0
1532256321,13,0
1532256621,6,0
1532257823,6,0
1532258121,1,0
1532259021,3,0
1532259323,5,0
1532259921,1,0
1532261122,1,0
1532262025,1,0
1532262630,6,0
1532263226,4,0
1532263828,1,0
1532264429,4,0
1532265025,1,0
1532265921,1,0
1532266522,2,0
1532267723,4,0
1532268327,2,0
1532269226,1,0
1532269822,3,0
1532270426,2,0
1532271029,5,0
1532271628,5,0
1532272221,1,0
1532272827,3,0
1532273122,2,0
1532273725,2,0
1532274627,1,0
1532275227,2,0
1532277321,7,0
1532278526,11,0
1532279421,3,0
1532281522,8,0
1532281825,3,0
1532282425,13,0
1532282723,13,0
1532283622,5,0
1532284222,5,0
1532284824,9,0
1532285722,9,0
1532286024,7,0
1532286922,1,0
1532287223,1,0
1532288422,7,0
1532289323,1,0
1532291125,9,0
1532291724,4,0
1532292622,1,0
1532293226,1,0
1532293526,3,0
1532294126,1,0
1532294723,1,0
1532295626,13,0
1532296228,6,0
1532296826,18,0
1532298024,11,0
1532298623,12,0
1532299221,13,0
1532299821,7,0
1532300421,11,0
1532301025,7,0
1532301622,2,0
1532301924,3,0
1532302524,7,0
1532303421,8,0
1532306421,7,0
1532306726,17,0
1532308225,1,0
1532309423,53,0
1532310324,8,0
1532310628,2,0
1532311231,19,0
1532312128,9,0
1532312423,2,0
1532313025,6,0
1532313626,8,0
1532314224,6,0
1532314826,3,0
1532315423,3,0
1532316027,2,0
1532316324,3,0
1532316924,9,0
1532317525,6,0
1532318423,3,0
1532318722,29,0
1532319325,22,0
1532319622,1,0
1532320827,3,0
1532321122,3,0
1532321722,1,0
1532322626,4,0
1532324121,11,0
1532324725,3,0
1532325321,7,0
1532325922,3,0
1532326524,32,0
1532327125,47,0
1532327726,14,0
1532328025,74,0
1532328325,4,0
1532328622,6,0
1532328925,35,0
1532329520,7,0
1532330422,2,2
1532330723,1,0
1532331321,3,0
1532332222,7,0
1532332825,3,0
1532333423,3,0
1532335225,6,0
1532335822,1,0
1532338822,41,0
1532339422,3,0
1532341222,3,0
1532341829,3,0
1532342421,30,0
1532343024,3,0
1532344222,1,0
1532344823,1,0
1532345121,4,0
1532345722,10,0
1532346022,13,0
1532346622,1,0
1532349322,22,0
1532349924,1,0
1532350521,1,0
1532351126,8,0
1532352922,3,0
1532353522,28,0
1532354121,3,0
1532356521,2,0
1532357122,35,0
1532358922,2,0
1532360728,61,0
1532361323,2,0
1532363727,4,0
1532364628,63,0
1532365227,65,0
1532365531,77,0
1532366127,9,0
1532366430,2,0
1532366725,1,0
1532367325,7,0
1532367621,20,0
1532368229,6,0
1532370923,10,0
1532371225,14,0
1532371829,6,0
1532372423,2,0
1532373624,1,0
1532374223,11,0
1532374824,39,0
1532375425,4,0
1532376024,22,0
1532379622,48,0
1532380526,1,0
1532382023,24,0
1532382326,5,0
1532382921,74,0
1532383522,62,0
1532384421,35,0
1532385027,3,0
1532385621,31,0
1532386221,1,0
1532388021,2,0
1532388623,1,0
1532389222,22,0
1532389830,1,0
1532390427,1,0
1532391025,1,0
1532392826,37,0
1532393127,1,0
1532393422,3,0
1532394027,1,0
1532396427,22,0
1532397322,8,0
1532397626,3,0
1532398227,3,0
1532400023,15,0
1532400327,26,0
1532401223,1,0
1532401524,1,0
1532402720,1,0
1532403922,33,0
1532404521,44,0
1532404822,21,0
1532407227,20,0
1532407824,4,0
1532410822,20,0
1532411424,1,0
1532413223,1,0
1532414424,27,0
1532415025,1,0
1532418027,18,0
1532418623,5,0
1532419223,2,0
1532421026,7,0
1532421926,13,0
1532422223,15,0
1532422824,70,0
1532424922,10,0
1532425224,2,0
1532425824,2,0
1532426422,10,0
1532427022,23,0
