DateTime,AddedIPs,RemovedIPs
1532293240,83,117
1532293706,3,9
1532294200,127,107
1532294658,5,9
1532295135,177,120
1532295629,3,6
1532296107,156,134
1532296572,5,12
1532297098,137,145
1532297539,1,14
1532298008,127,0
1532298524,16,14
1532298732,96,25
1532299239,136,257
1532299698,6,3
1532300168,155,0
1532300429,2,1
1532300675,0,4
1532301167,140,139
1532301635,2,9
1532302113,153,122
1532302618,97,12
1532303101,131,113
1532303559,2,5
1532304022,142,116
1532304539,8,21
1532304981,148,140
1532305454,4,14
1532305952,170,3135
1532306421,13,16
1532306917,108,137
1532307380,6,7
1532307864,157,133
1532308365,4,7
1532308812,130,127
1532309293,4,6
1532309401,71,0
1532309789,153,90
1532310271,9,9
1532310791,166,133
1532311225,0,9
1532311693,204,134
1532312202,9,20
1532312674,148,128
1532313159,73,10
1532313624,119,110
1532314120,13,13
1532314571,169,93
1532315063,8,12
1532315557,162,136
1532316020,11,21
1532316516,131,130
1532316992,74,11
1532317493,140,153
1532317955,23,8
1532318444,162,112
1532318914,16,6
1532319386,144,130
1532319899,19,14
1532320346,213,94
1532320831,16,6
1532321295,128,127
1532321798,11,10
1532322260,145,122
1532322759,22,12
1532323215,144,105
1532323691,13,22
1532323802,87,0
1532324190,142,130
1532324658,4,0
1532325129,159,135
1532325647,14,9
1532326120,137,129
1532326587,21,16
1532327103,148,130
1532327547,82,8
1532328024,146,134
1532328507,7,28
1532328999,184,145
1532329479,17,15
1532329948,144,120
1532330424,11,0
1532330890,137,115
1532331002,99,0
1532331401,10,6
1532331904,161,115
1532332352,8,0
1532332834,160,167
1532333316,52,40
1532334040,205,188
1532334493,12,3
1532334601,122,0
1532334970,193,184
1532335209,4,5
1532335469,10,15
1532335986,145,166
1532336445,3,25
1532336905,149,127
1532337143,2,7
1532337374,9,0
1532337875,171,129
1532338346,110,25
1532338811,147,115
1532339061,4,3
1532339300,9,0
1532339783,137,128
1532341757,206,209
1532341802,77,0
1532342895,170,119
1532343627,2,1
1532343894,181,158
1532344812,164,146
1532345402,349,0
1532345772,149,112
1532346768,137,112
1532347463,9,4
1532347695,150,133
1532348653,130,127
1532349001,115,0
1532349375,5,5
1532349630,151,98
1532350570,125,146
1532351294,2,1
1532351541,171,106
1532352608,170,130
1532353228,103,0
1532353689,174,122
1532354672,153,146
1532355148,3,7
1532355609,187,117
1532356202,115,0
1532356573,149,104
1532357058,4,2
1532357576,159,133
1532358497,150,135
1532358988,2,6
1532359453,157,112
1532359801,74,0
1532360433,183,102
1532360896,4,5
1532361369,146,118
1532362336,165,137
1532363334,170,168
1532363781,101,3
1532364316,165,135
1532365287,146,0
1532365718,7,0
1532366430,143,324
1532367001,67,0
1532367396,166,158
1532367609,6,6
1532368353,144,0
1532369314,138,159
1532369783,8,4
1532370280,144,173
1532370602,84,0
1532371234,112,115
1532371942,10,3
1532372185,162,185
1532373170,213,1708
1532373867,18,4
1532374089,136,137
1532374203,138,0
1532375101,158,147
1532375777,9,5
1532376018,165,152
1532376991,158,180
1532377687,17,6
1532377938,300,101
1532380134,177,274
1532381074,124,131
1532381402,120,0
1532382018,144,156
1532382990,132,157
1532383967,149,145
1532384905,117,141
1532385002,74,0
1532385894,144,149
1532386834,100,147
1532387789,250,273
1532388742,226,164
1532389705,157,130
1532390662,139,141
1532391629,180,140
1532392201,103,1427
1532392570,145,156
1532393532,43,20
1532394063,157,134
1532394500,7,19
1532394981,141,139
1532395493,22,15
1532395941,234,119
1532396412,9,20
1532396944,138,152
1532397372,23,10
1532397889,140,149
1532398337,11,8
1532398808,127,213
1532399321,12,11
1532399783,205,153
1532400266,10,14
1532400752,168,122
1532401225,21,10
1532401724,141,158
1532402185,16,8
1532402697,135,168
1532403142,81,9
1532403613,134,135
1532404113,14,2
1532404568,118,118
1532405056,2,13
1532405554,146,113
1532406023,15,11
1532406509,122,118
1532407002,58,11
1532408021,142,262
1532408445,14,9
1532408912,5,5
1532409136,158,146
1532409631,19,8
1532410202,72,0
1532410582,149,143
1532410815,5,10
1532411536,204,284
1532412499,192,8
1532412747,8,0
1532413486,162,144
1532413801,103,0
1532414420,134,142
1532414653,9,7
1532415373,131,149
1532416363,173,300
1532416814,6,11
1532417304,169,147
1532417402,102,0
1532418273,204,4
1532418753,9,7
1532419242,188,314
1532420188,162,11
1532420658,6,12
1532421161,293,184
1532422372,159,150
1532422851,37,78
1532423304,145,154
1532424270,186,149
1532424734,131,2
1532425235,135,290
1532426195,166,154
1532426670,6,4
1532427136,149,0
